{cer_res},{wer_res},{bleu_res},{bert_res}
0.7851,1.3120,0.0000,0.7232,0.7182,0.7207
0.7856,1.3179,0.0000,0.7421,0.7423,0.7422
0.9665,0.9664,0.0000,0.7324,0.7305,0.7315
0.7916,1.1383,0.0000,0.7356,0.7351,0.7354
0.8870,0.9780,0.0000,0.7285,0.7418,0.7351
0.8923,0.9725,0.0000,0.7370,0.7318,0.7344
0.8023,1.1693,0.0000,0.7331,0.7367,0.7349
0.8709,0.9742,0.0000,0.7413,0.7312,0.7362
0.8507,0.9713,0.0000,0.7422,0.7324,0.7372
0.8049,1.0370,0.0000,0.7423,0.7419,0.7421
0.9657,0.9604,0.0000,0.7509,0.7560,0.7534
0.7731,1.1722,0.0000,0.7329,0.7262,0.7295
0.9229,0.9735,0.0000,0.7365,0.7274,0.7319
0.7782,0.9829,0.0000,0.7290,0.7402,0.7345
0.7878,1.0765,0.0000,0.7316,0.7234,0.7275
0.9295,0.9710,0.0000,0.7350,0.7368,0.7359
0.8517,0.9740,0.0000,0.7331,0.7278,0.7304
0.9411,0.9482,0.0000,0.7568,0.7493,0.7530
0.8137,1.1034,0.0000,0.7202,0.7443,0.7321
0.8174,1.0615,0.0000,0.7353,0.7431,0.7392
0.8212,0.9771,0.0000,0.7263,0.7268,0.7265
0.8507,0.9591,0.0000,0.7288,0.7248,0.7268
0.8212,1.1401,0.0000,0.7302,0.7411,0.7356
1.0000,0.9549,0.0000,0.7233,0.7256,0.7244
0.7640,1.1977,0.0000,0.7093,0.7110,0.7102
0.9032,0.9775,0.0000,0.7323,0.7366,0.7345
0.8691,0.9643,0.0000,0.7387,0.7387,0.7387
1.0000,0.9700,0.0000,0.6492,0.5926,0.6196
0.8350,3.9565,0.0000,0.5938,0.6507,0.6210
0.7629,1.2979,0.0000,0.7107,0.7125,0.7116
1.0000,0.9569,0.0000,0.7198,0.7232,0.7215
0.7551,1.0968,0.0000,0.7124,0.7213,0.7168
0.7662,1.1508,0.0000,0.7192,0.7048,0.7119
0.8954,0.9818,0.0000,0.7240,0.7237,0.7238
0.8990,0.9904,0.0000,0.7228,0.7171,0.7199
0.9523,0.9706,0.0000,0.7199,0.7226,0.7212
0.7936,1.0706,0.0000,0.7001,0.7112,0.7056
0.9078,0.9572,0.0000,0.7080,0.7162,0.7121
0.7824,1.3671,0.0000,0.7339,0.7286,0.7312
0.9048,0.9515,0.0000,0.7397,0.7346,0.7371
0.8985,0.9734,0.0000,0.7309,0.7414,0.7361
0.8713,0.9511,0.0000,0.7296,0.7435,0.7365
0.8463,1.1845,0.0000,0.7223,0.7326,0.7274
0.7893,0.9952,0.0000,0.7343,0.7334,0.7338
0.8704,0.9817,0.0000,0.7232,0.7060,0.7145
0.7934,1.1176,0.0000,0.7429,0.7495,0.7462
0.8179,0.9789,0.0000,0.6400,0.6855,0.6620
