cer_res,wer_res,time
0.1021,0.7768,32.933157444000244
0.1708,1.0000,20.23160433769226
0.1469,0.9271,33.021844148635864
0.0645,0.8333,8.488207817077637
0.0105,0.1967,9.266095876693726
0.0284,0.3438,12.430001020431519
0.0639,0.7629,36.09209680557251
1.0000,1.0000,12.119260311126709
0.1233,0.9000,17.962489366531372
0.0381,0.4966,17.94206166267395
0.2354,1.0000,32.385451316833496
0.0509,0.5312,25.236457347869873
0.0257,0.5327,28.747986555099487
0.0637,0.9873,35.20094919204712
0.0478,1.0000,16.71357011795044
0.0763,0.9452,30.918832063674927
0.0551,0.9844,22.254868268966675
0.1250,0.9850,34.53534197807312
0.1594,0.7124,39.64059090614319
0.0760,0.5802,16.266173601150513
0.1401,0.9614,33.694483518600464
0.2203,0.9748,38.14139413833618
0.1438,0.9948,22.787169218063354
0.0860,0.6138,31.804611206054688
0.1139,0.9600,18.757542610168457
0.0745,0.9441,18.614792823791504
0.0841,0.6909,45.536537170410156
0.1647,1.0000,16.04989004135132
0.0603,0.9834,29.934123754501343
0.0513,0.7038,27.26423668861389
0.1376,0.9605,19.17853307723999
0.1430,0.9902,22.62092876434326
0.0470,0.6592,27.11295247077942
0.2949,0.9288,40.88775897026062
0.1222,0.8265,33.70247507095337
0.0364,0.3457,28.26540970802307
0.1278,0.9896,21.891069889068604
0.1070,0.9892,24.617603302001953
0.1224,1.0000,21.388806104660034
0.1647,0.9948,23.51133632659912
0.0280,0.1951,15.180362939834595
0.0966,0.9832,20.442785024642944
0.0441,1.0000,9.205302953720093
0.1018,0.9322,21.893533945083618
0.1802,1.0000,31.493295907974243
0.1814,0.9922,34.96720862388611
0.1731,1.0000,30.438595294952393
0.1503,0.9938,24.426884174346924
0.0027,0.2060,7.324332237243652
0.0896,0.9609,29.00420093536377
